ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Max Speed (km/hr),Track Gauge (mm),Overhead?,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2021 dollars),Cost/km (2021 dollars),Source2,Reference,,
8091,CN,Nanchang,Line 1,Line 1 Eastern Extension,2018,2021,0,4.1,100.00%,4.1,0,0,2,,80,1435,1,Plan,"2,040.00",CNY,2015,0.2583514029,526.32,128.4,0,0,0,0,1.143251328,601.7,146.8,Plan,http://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=316,,
,EG,Cairo,Line 2,Line 2 All Phases,1987,2005,0,21.8,90.83%,19.8,2,,20,,80,1435,0,Plan,761,EUR,2005,0.9869733912,6012000,275779.8,0,0,0,0,1.387455197,"8,341,380.60","382,632.10",,http://www.nat.gov.eg/LocationActivity.aspx?id=78,,
,IT,Catania,,Stesicoro-Aeroporto,2017,2025,0,6.4,100.00%,6.4,0,0,8,80,80,1435,1,plan,419,EUR,2020,1.543903203,544.7,85.1,1,6.4,6.4,0,1.046980229,570.3,89.1,Plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1723,,
7449,ES,Barcelona,,Sabadell tunnel,2006,2017,0,4.4,100.00%,4.4,0,0,4,,80,1445,1,Plan,430,EUR,2011,1.400307227,559,127,1,4.4,4.4,0,1.204637702,673.4,153,Plan,https://govern.cat/govern/docs/2012/10/03/12/36/6b33e55c-7ef4-4200-8517-97c7501d026e.pdf,,
,IT,Catania,,Misterbianco Centro-Paterno',2022,2026,0,11.5,52.00%,6,0,5.5,5,80,80,1435,1,plan,432,EUR,2024,1.598933192,561.6,48.8,1,11.5,6,0,1,561.6,48.8,plan,http://silos.infrastrutturestrategiche.it/admin/scheda.aspx?id=1723,,
9774,HK,Hong Kong,,Quarry Bay Congestion Relief Works (Kwung Tung Extension),1997,2001,0,2.1,100.00%,2.1,0,0,0,,80,1432,0,Plan,"3,100",HKD,1999,0.1328472894,565.13,269.1,0,0,0,0,1.626470588,919.2,437.7,Plan,,,
7523,JP,Fukuoka,,Nanakuma Line extension,2014,2022,0,1.6,100.00%,1.6,0,0,2,,90,1435,1,Wiki,"58,700",JPY,2018,0.009600740163,587,366.9,0,0,0,0,1.079101738,633.4,395.9,Media,https://www.fukuoka-now.com/en/news/nanakuma-subway-line-extension-delayed/,,
7219,SE,Stockholm,,Barkarby,2020,2026,0,3.3,100.00%,3.3,0,0,2,140,80,1435,1,Plan,"5,286",SEK,2016,0.1133454522,597.318,181,1,3.3,3.3,0,1.129008737,674.4,204.4,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf,,
9812,TW,Taipei,Xinyi Line,Xinyi Line East Extension,2016,2022,0,1.4,100.00%,1.4,0,0,1,,90,1435,0,Plan,"9,000",TWD,2019,0.1907127671,597.6,426.9,0,0,0,0,1.059896658,633.4,452.4,Plan,https://english.gov.taipei/News_Content.aspx?n=A11F01CFC9F58C83&sms=DFFA119D1FD5602C&s=C36916C73CDB70EA,,
7401,CA,Montreal,,Laval extension,2001,2007,0,5.2,100.00%,5.2,0,0,3,,80,1435,0,Wiki,745,CAD,2004,0.8112523952,603.45,116,0,0,0,1,1.434462679,865.6,166.5,Media,https://montrealgazette.com/news/local-news/the-sleepy-success-story-of-the-laval-metro-extension,,
